aibentai-tell,verb,tell
olpukai-grow,verb,grow
ulai-so,verb,so
omtrai-sleep,verb,sleep
oinei-look.around,verb,look.around
onekutrai-kick,verb,kick
oyerai-say,verb,say
orkoi-pick.fruit,verb,pick.fruit
oncrekai-wake,verb,wake
antoi-watch,verb,watch
omangkai-hold,verb,hold
owertai-burn,verb,burn
atorai-search,verb,search
omulantnai-stir,verb,stir
erkai-desire,verb,desire
alekai-start,verb,start
owkoi-see,verb,see
orpenoi-ready,verb,ready
owakiai-plant,verb,plant
artiboi-finish,verb,finish
omarntnai-circumnavigate.or.twist,verb,circumnavigate.or.twist
orirai-weave,verb,weave
okrai-pile,verb,pile
orai-work,verb,work
omirintei-peel,verb,peel
okakoi-tie,verb,tie
oworoi-fell.tree,verb,fell.tree
ortnngkai-clean,verb,clean
okorai-divide,verb,divide
onongkoi-give,verb,give
onowoi-distribute,verb,distribute
antoi-wait,verb,wait
onongkui-heap,verb,heap
urei-remove,verb,remove
olngkoloi-stab,verb,stab
otroi-dig,verb,dig
omonsoi-assemble,verb,assemble
owngkai-put,verb,put
ontongkoi-bring,verb,bring
itbrei-separate,verb,separate
omei-put.out,verb,put.out
osoi-mince,verb,mince
orntoi-peel,verb,peel
otukoi-move,verb,move
otnongkai-writework,verb,writework
angkarai-deny,verb,deny
orotai-arrive,verb,arrive
atunaengkai-agree,verb,agree
aintaknai-flatter,verb,flatter
osiproi-open.clothes,verb,open.clothes
olusiai-blow,verb,blow
awantkoi-enter,verb,enter
alapinai-hug,verb,hug
orsukoi-admit,verb,admit
oikinai-build,verb,build
ompangkai-push.out,verb,push.out
amnangkai-request,verb,request
orikoi-lay.out,verb,lay.out
ominsroi-extend,verb,extend
oprmangkai-repair,verb,repair
esamingei-teach,verb,teach
wortnai-prepare.for.festival,verb,prepare.for.festival
oyauai-travel,verb,travel
orpongkai-cover,verb,cover
onakiai-lift,verb,lift
onakiai-climb,verb,climb
ayakntnai-crawl,verb,crawl
