form_id,lexeme,cell,phon_form
1,opinoi,fut.dur.irr.1act.sgact.2und.sgund.nplu,ⁿtpinɔⁿt
2,opinoi,fut.dur.irr.1act.sgact.2und.sgund.plu,ⁿtpinɔⁿt
3,opinoi,fut.dur.irr.1act.sgact.2und.nsgund.nplu,srpinɔⁿt
4,opinoi,fut.dur.irr.1act.sgact.2und.nsgund.plu,srpinɔⁿt
5,opinoi,fut.dur.irr.1act.sgact.3und.sgund.fem.nplu,brpinɔⁿt
6,opinoi,fut.dur.irr.1act.sgact.3und.sgund.fem.plu,brpinɔⁿt
7,opinoi,fut.dur.irr.1act.sgact.3und.sgund.def.nplu,srpinɔⁿt
8,opinoi,fut.dur.irr.1act.sgact.3und.sgund.def.plu,srpinɔⁿt
9,opinoi,fut.dur.irr.1act.sgact.3und.nsgund.nplu,srpinɔⁿt
10,opinoi,fut.dur.irr.1act.sgact.3und.nsgund.plu,srpinɔⁿt
11,opinoi,fut.dur.irr.1act.nsgact.2und.sgund.nplu,ⁿtpinɔⁿtɛj
12,opinoi,fut.dur.irr.1act.nsgact.2und.sgund.plu,ⁿtpinɔⁿtɛj
13,opinoi,fut.dur.irr.1act.nsgact.2und.nsgund.nplu,srpinɔⁿtɛj
14,opinoi,fut.dur.irr.1act.nsgact.2und.nsgund.plu,srpinɔⁿtɛj
15,opinoi,fut.dur.irr.1act.nsgact.3und.sgund.fem.nplu,brpinɔⁿtɛj
16,opinoi,fut.dur.irr.1act.nsgact.3und.sgund.fem.plu,brpinɔⁿtɛj
17,opinoi,fut.dur.irr.1act.nsgact.3und.sgund.def.nplu,srpinɔⁿtɛj
18,opinoi,fut.dur.irr.1act.nsgact.3und.sgund.def.plu,srpinɔⁿtɛj
19,opinoi,fut.dur.irr.1act.nsgact.3und.nsgund.nplu,srpinɔⁿtɛj
20,opinoi,fut.dur.irr.1act.nsgact.3und.nsgund.plu,srpinɔⁿtɛj
21,opinoi,fut.dur.irr.2act.sgact.1und.sgund.nplu,bpinɔⁿt
22,opinoi,fut.dur.irr.2act.sgact.1und.sgund.plu,bpinɔⁿt
23,opinoi,fut.dur.irr.2act.sgact.1und.nsgund.nplu,ⁿtpinɔⁿt
24,opinoi,fut.dur.irr.2act.sgact.1und.nsgund.plu,ⁿtpinɔⁿt
25,opinoi,fut.dur.irr.2act.sgact.3und.sgund.fem.nplu,bpinɔⁿt
26,opinoi,fut.dur.irr.2act.sgact.3und.sgund.fem.plu,bpinɔⁿt
27,opinoi,fut.dur.irr.2act.sgact.3und.sgund.def.nplu,spinɔⁿt
28,opinoi,fut.dur.irr.2act.sgact.3und.sgund.def.plu,spinɔⁿt
29,opinoi,fut.dur.irr.2act.sgact.3und.nsgund.nplu,spinɔⁿt
30,opinoi,fut.dur.irr.2act.sgact.3und.nsgund.plu,spinɔⁿt
31,opinoi,fut.dur.irr.2act.nsgact.1und.sgund.nplu,bpinɔⁿtɛj
32,opinoi,fut.dur.irr.2act.nsgact.1und.sgund.plu,bpinɔⁿtɛj
33,opinoi,fut.dur.irr.2act.nsgact.1und.nsgund.nplu,ⁿtpinɔⁿtɛj
34,opinoi,fut.dur.irr.2act.nsgact.1und.nsgund.plu,ⁿtpinɔⁿtɛj
35,opinoi,fut.dur.irr.2act.nsgact.3und.sgund.fem.nplu,bpinɔⁿtɛj
36,opinoi,fut.dur.irr.2act.nsgact.3und.sgund.fem.plu,bpinɔⁿtɛj
